Station,Date,Hour,Temp_C,DewPoint_C,Humidity_pct,Precip_mm,SolarRad_Wm2,SoilTemp_C,Wind_ms,WindDir_deg,ETo_mm
248,2020-04-01,0100,10.7,9.7,94,0.0,0,14.3,2.3,237,0.0
248,2020-04-01,0200,9.2,8.6,96,0.0,0,14.0,1.5,254,0.0
248,2020-04-01,0300,8.6,7.9,95,0.0,0,13.6,2.1,267,0.0
248,2020-04-01,0400,8.4,7.2,92,0.0,0,13.3,2.3,267,0.0
248,2020-04-01,0500,7.5,6.2,91,0.0,0,13.0,2.2,263,0.0
248,2020-04-01,0600,6.2,4.9,92,0.0,4,12.7,2.0,256,0.0
248,2020-04-01,0700,6.3,5.1,92,0.0,107,12.4,1.6,255,0.02
248,2020-04-01,0800,9.9,6.7,81,0.0,305,12.2,3.5,264,0.14
248,2020-04-01,0900,12.1,5.6,65,0.0,516,12.3,4.7,293,0.28
248,2020-04-01,1000,14.3,4.2,51,0.0,690,12.5,4.5,316,0.42
248,2020-04-01,1100,15.9,3.5,43,0.0,815,12.8,4.7,318,0.54
248,2020-04-01,1200,16.9,2.6,38,0.0,884,13.7,4.6,316,0.61
248,2020-04-01,1300,17.7,2.8,37,0.0,889,14.7,4.0,322,0.61
248,2020-04-01,1400,18.2,3.9,39,0.0,833,15.6,3.4,321,0.56
248,2020-04-01,1500,18.2,3.8,38,0.0,727,16.2,3.2,304,0.48
248,2020-04-01,1600,18.7,1.8,32,0.0,570,16.4,2.7,312,0.36
248,2020-04-01,1700,18.7,1.4,31,0.0,361,16.4,2.9,337,0.27
248,2020-04-01,1800,17.5,1.3,34,0.0,149,16.1,2.2,341,0.13
248,2020-04-01,1900,13.7,2.1,45,0.0,14,15.7,1.6,297,0.04
248,2020-04-01,2000,9.2,5.3,77,0.0,0,15.3,2.0,258,0.0
248,2020-04-01,2100,8.8,5.6,80,0.0,0,14.8,2.3,255,0.0
248,2020-04-01,2200,9.2,5.7,79,0.0,0,14.4,2.6,254,0.0
248,2020-04-01,2300,7.3,5.2,86,0.0,0,14.0,1.8,253,0.0
248,2020-04-01,2400,5.5,4.1,90,0.0,0,13.6,1.7,266,0.0
248,2020-04-02,0100,4.9,3.7,92,0.0,0,13.2,1.9,276,0.0
248,2020-04-02,0200,6.2,2.3,76,0.0,0,12.7,2.1,302,0.0
248,2020-04-02,0300,7.0,0.6,64,0.0,0,12.4,2.9,321,0.0
248,2020-04-02,0400,5.9,0.2,67,0.0,0,12.1,1.8,310,0.0
248,2020-04-02,0500,4.7,-0.1,71,0.0,0,11.8,2.0,296,0.0
248,2020-04-02,0600,4.3,-0.3,72,0.0,4,11.4,1.8,284,0.0
248,2020-04-02,0700,7.7,-0.1,58,0.0,114,11.1,3.0,330,0.05
248,2020-04-02,0800,10.4,0.1,49,0.0,323,10.9,5.6,341,0.22
248,2020-04-02,0900,12.6,-0.2,41,0.0,533,10.9,6.1,342,0.35
248,2020-04-02,1000,14.5,0.2,38,0.0,711,11.1,5.5,334,0.48
248,2020-04-02,1100,16.1,0.4,34,0.0,833,11.5,5.1,330,0.58
248,2020-04-02,1200,17.5,0.4,32,0.0,898,12.5,4.7,330,0.64
248,2020-04-02,1300,18.5,-0.7,27,0.0,905,13.7,4.4,326,0.66
248,2020-04-02,1400,19.1,-2.2,24,0.0,857,14.6,4.4,308,0.63
248,2020-04-02,1500,19.7,-3.8,20,0.0,750,15.2,4.4,316,0.56
248,2020-04-02,1600,20.0,-3.5,20,0.0,584,15.5,3.8,319,0.43
248,2020-04-02,1700,18.8,-1.6,25,0.0,375,15.4,3.0,281,0.28
248,2020-04-02,1800,17.5,0.8,32,0.0,157,15.3,2.0,282,0.12
248,2020-04-02,1900,13.6,3.0,48,0.0,16,15.0,2.5,257,0.04
248,2020-04-02,2000,11.1,3.6,60,0.0,0,14.7,2.5,237,0.02
248,2020-04-02,2100,9.5,4.4,71,0.0,0,14.6,2.2,237,0.0
248,2020-04-02,2200,8.6,4.5,76,0.0,0,14.2,2.4,238,0.0
248,2020-04-02,2300,8.8,5.1,78,0.0,0,14.0,2.6,244,0.0
248,2020-04-02,2400,7.7,5.0,83,0.0,0,13.7,2.2,248,0.0
248,2020-04-03,0100,7.0,4.9,86,0.0,0,13.4,2.2,256,0.0
248,2020-04-03,0200,7.0,5.0,87,0.0,0,13.3,2.3,255,0.0
248,2020-04-03,0300,6.4,5.0,90,0.0,0,12.9,1.7,244,0.0
248,2020-04-03,0400,5.3,3.9,91,0.0,0,12.9,1.1,187,0.0
248,2020-04-03,0500,3.2,2.6,96,0.0,0,12.5,0.5,160,0.0
248,2020-04-03,0600,4.5,4.1,97,0.0,4,12.2,1.0,232,0.0
248,2020-04-03,0700,5.8,5.1,95,0.0,95,11.4,1.2,223,0.02
248,2020-04-03,0800,9.7,7.3,85,0.0,264,11.2,2.1,249,0.12
248,2020-04-03,0900,11.9,5.4,65,0.0,467,11.2,2.7,260,0.26
248,2020-04-03,1000,14.0,3.9,50,0.0,699,11.5,4.0,297,0.42
248,2020-04-03,1100,15.3,4.2,47,0.0,815,11.9,4.3,301,0.52
248,2020-04-03,1200,17.0,4.1,42,0.0,875,12.9,4.4,316,0.59
248,2020-04-03,1300,17.8,3.7,39,0.0,881,14.0,4.1,299,0.61
248,2020-04-03,1400,18.3,3.2,36,0.0,826,14.9,3.6,282,0.56
248,2020-04-03,1500,19.0,2.7,34,0.0,718,15.5,3.3,291,0.48
248,2020-04-03,1600,19.5,1.7,30,0.0,558,15.8,2.8,301,0.4
248,2020-04-03,1700,18.7,1.5,31,0.0,353,15.8,2.9,297,0.27
248,2020-04-03,1800,17.0,3.4,40,0.0,148,15.6,2.9,293,0.14
248,2020-04-03,1900,13.7,4.0,52,0.0,15,15.4,3.3,250,0.05
248,2020-04-03,2000,11.7,3.7,58,0.0,0,15.0,4.1,243,0.04
248,2020-04-03,2100,10.2,5.7,73,0.0,0,14.6,3.8,240,0.01
248,2020-04-03,2200,9.1,6.3,83,0.0,0,14.2,2.6,233,0.0
248,2020-04-03,2300,9.2,6.3,82,0.0,0,13.8,3.4,240,0.0
248,2020-04-03,2400,9.1,6.3,83,0.0,0,13.4,3.8,241,0.0
248,2020-04-04,0100,8.9,6.1,83,0.0,0,13.1,3.4,239,0.01
248,2020-04-04,0200,8.6,5.6,81,0.0,0,12.8,3.4,247,0.01
248,2020-04-04,0300,8.3,5.6,83,0.0,0,12.6,3.0,242,0.0
248,2020-04-04,0400,7.0,5.3,89,0.0,0,12.3,1.8,229,0.0
248,2020-04-04,0500,7.7,5.5,86,0.0,0,12.0,2.2,225,0.0
248,2020-04-04,0600,7.9,5.6,86,0.0,4,11.8,1.9,219,0.0
248,2020-04-04,0700,9.5,6.1,79,0.0,87,11.6,3.4,235,0.05
248,2020-04-04,0800,10.6,6.4,75,0.0,161,11.6,4.1,237,0.1
248,2020-04-04,0900,11.6,7.2,74,0.0,206,11.6,3.8,239,0.12
248,2020-04-04,1000,12.7,7.9,73,0.0,302,11.8,3.1,219,0.16
248,2020-04-04,1100,13.3,9.0,75,0.0,365,12.0,3.6,227,0.19
