Station,Date,Hour,Temp_C,DewPoint_C,Humidity_pct,Precip_mm,SolarRad_Wm2,SoilTemp_C,Wind_ms,WindDir_deg,ETo_mm
254,2020-04-01,0100,9.7,8.7,94,1.3,0,13.8,1.1,260,0.0
254,2020-04-01,0200,9.9,7.9,88,0.0,0,13.6,1.8,289,0.0
254,2020-04-01,0300,9.3,5.3,76,0.0,0,13.4,2.4,292,0.0
254,2020-04-01,0400,7.1,4.4,83,0.0,0,13.3,1.0,321,0.0
254,2020-04-01,0500,6.5,4.3,86,0.0,0,13.1,1.4,40,0.0
254,2020-04-01,0600,6.2,4.1,87,0.0,2,12.9,0.8,7,0.0
254,2020-04-01,0700,7.3,5.5,88,0.0,92,12.7,1.5,30,0.01
254,2020-04-01,0800,11.6,6.8,72,0.0,294,12.5,1.9,325,0.14
254,2020-04-01,0900,12.2,5.0,61,0.0,516,12.5,2.7,295,0.26
254,2020-04-01,1000,13.2,4.5,56,0.0,701,12.7,2.8,299,0.4
254,2020-04-01,1100,13.9,5.0,55,0.0,835,13.0,2.6,256,0.49
254,2020-04-01,1200,14.4,5.9,57,0.0,913,13.6,3.3,223,0.56
254,2020-04-01,1300,14.8,5.9,55,0.0,930,14.1,3.3,232,0.58
254,2020-04-01,1400,15.7,5.3,50,0.0,882,14.6,4.0,243,0.58
254,2020-04-01,1500,15.6,5.4,51,0.0,771,14.9,4.8,249,0.51
254,2020-04-01,1600,15.4,6.0,53,0.0,605,15.0,5.0,253,0.39
254,2020-04-01,1700,15.0,5.8,54,0.0,396,14.9,4.3,247,0.26
254,2020-04-01,1800,14.5,5.4,55,0.0,172,14.8,3.3,258,0.13
254,2020-04-01,1900,12.9,5.8,62,0.0,20,14.6,2.3,265,0.02
254,2020-04-01,2000,11.9,5.4,64,0.0,0,14.4,3.1,305,0.02
254,2020-04-01,2100,10.9,5.8,71,0.0,0,14.1,2.6,317,0.0
254,2020-04-01,2200,10.3,6.0,74,0.0,0,13.9,2.0,313,0.0
254,2020-04-01,2300,8.8,5.7,81,0.0,0,13.7,0.8,64,0.0
254,2020-04-01,2400,8.2,4.7,79,0.7,0,13.5,1.0,303,0.0
254,2020-04-02,0100,6.7,4.2,84,1.4,0,13.3,1.3,1,0.0
254,2020-04-02,0200,5.9,3.7,86,0.0,0,13.0,1.0,43,0.0
254,2020-04-02,0300,4.8,3.1,89,0.0,0,12.8,1.2,56,0.0
254,2020-04-02,0400,4.8,3.1,89,0.0,0,12.6,1.2,57,0.0
254,2020-04-02,0500,3.6,2.1,90,0.0,0,12.4,0.8,45,0.0
254,2020-04-02,0600,4.1,2.7,91,0.0,2,12.2,1.2,55,0.0
254,2020-04-02,0700,5.0,3.5,90,0.0,109,12.0,0.5,54,0.01
254,2020-04-02,0800,10.5,6.6,77,0.0,309,11.9,1.4,330,0.14
254,2020-04-02,0900,12.4,4.4,58,0.0,532,11.8,2.0,318,0.27
254,2020-04-02,1000,15.2,2.8,43,0.0,717,12.0,1.6,263,0.41
254,2020-04-02,1100,15.5,2.9,43,0.0,849,12.6,3.4,274,0.55
254,2020-04-02,1200,16.3,2.0,38,0.0,926,13.1,5.0,275,0.66
