Station,Date,Hour,Temp_C,DewPoint_C,Humidity_pct,Precip_mm,SolarRad_Wm2,SoilTemp_C,Wind_ms,WindDir_deg,ETo_mm
242,2020-04-01,0100,10.3,10.2,99,0.0,0,13.2,2.2,233,0.0
242,2020-04-01,0200,9.2,9.1,99,0.0,0,13.3,2.0,234,0.0
242,2020-04-01,0300,8.6,8.5,99,0.0,0,13.3,3.0,244,0.0
242,2020-04-01,0400,7.6,7.5,99,0.0,0,13.3,2.3,248,0.0
242,2020-04-01,0500,6.9,6.8,99,0.0,0,13.4,2.5,251,0.0
242,2020-04-01,0600,6.4,6.3,99,0.0,2,13.4,2.2,255,0.0
242,2020-04-01,0700,7.5,6.9,96,0.0,102,13.4,3.3,269,0.02
242,2020-04-01,0800,9.7,5.6,76,0.0,270,13.4,3.9,291,0.14
242,2020-04-01,0900,11.9,4.6,61,0.0,520,13.4,4.4,317,0.3
242,2020-04-01,1000,14.2,4.2,51,0.0,700,13.4,4.3,326,0.43
242,2020-04-01,1100,15.5,3.7,45,0.0,834,13.4,4.3,318,0.54
242,2020-04-01,1200,16.7,2.9,39,0.0,909,13.4,4.0,317,0.61
242,2020-04-01,1300,17.4,2.5,37,0.0,917,13.4,3.4,315,0.61
242,2020-04-01,1400,17.8,2.5,36,0.0,859,13.4,3.1,310,0.57
242,2020-04-01,1500,18.6,1.8,33,0.0,744,13.3,2.8,318,0.51
242,2020-04-01,1600,19.0,0.9,30,0.0,572,13.3,2.4,329,0.4
242,2020-04-01,1700,18.9,1.3,31,0.0,363,13.3,2.3,331,0.26
242,2020-04-01,1800,18.0,1.9,34,0.0,151,13.3,1.7,334,0.12
242,2020-04-01,1900,12.5,1.3,46,0.0,14,13.3,1.6,310,0.03
242,2020-04-01,2000,9.0,4.8,75,0.0,0,13.3,1.7,290,0.0
242,2020-04-01,2100,7.3,6.0,92,0.0,0,13.3,1.4,273,0.0
242,2020-04-01,2200,6.3,6.0,98,0.0,0,13.4,1.5,279,0.0
242,2020-04-01,2300,5.5,5.4,99,0.0,0,13.4,1.8,288,0.0
242,2020-04-01,2400,4.7,4.6,99,0.0,0,13.4,1.8,296,0.0
242,2020-04-02,0100,5.5,2.8,83,0.0,0,13.4,2.5,321,0.0
242,2020-04-02,0200,4.8,1.2,77,0.0,0,13.5,2.3,311,0.0
242,2020-04-02,0300,6.8,0.0,62,0.0,0,13.5,4.1,330,0.01
242,2020-04-02,0400,7.8,-1.0,54,0.0,0,13.5,4.9,330,0.03
242,2020-04-02,0500,7.6,-1.1,54,0.0,0,13.5,4.8,333,0.03
242,2020-04-02,0600,7.7,-1.5,52,0.0,3,13.5,5.6,332,0.04
242,2020-04-02,0700,8.4,-1.3,50,0.0,115,13.5,5.4,334,0.1
242,2020-04-02,0800,10.6,-0.9,45,0.0,325,13.4,5.8,330,0.24
