Station,Date,Hour,Temp_C,DewPoint_C,Humidity_pct,Precip_mm,SolarRad_Wm2,SoilTemp_C,Wind_ms,WindDir_deg,ETo_mm
171,2020-04-01,0100,12.3,9.5,83,0.0,0,16.1,1.2,286,0.0
171,2020-04-01,0200,11.5,7.9,78,0.0,0,16.0,1.1,277,0.01
171,2020-04-01,0300,10.6,5.6,71,0.0,0,16.0,1.2,268,0.01
171,2020-04-01,0400,10.3,5.7,73,0.0,0,15.9,1.3,287,0.01
171,2020-04-01,0500,9.6,5.7,77,0.0,0,15.8,0.7,299,0.01
171,2020-04-01,0600,7.7,4.7,81,0.0,1,15.7,0.5,36,0.0
171,2020-04-01,0700,7.4,4.9,84,0.0,26,15.6,0.5,63,0.01
171,2020-04-01,0800,9.6,5.6,76,0.0,40,15.4,0.8,77,0.01
171,2020-04-01,0900,11.4,5.2,66,0.0,312,15.3,1.2,318,0.16
171,2020-04-01,1000,12.9,6.2,63,0.0,645,15.2,1.5,229,0.36
171,2020-04-01,1100,13.8,5.2,56,0.0,829,15.1,2.0,271,0.47
171,2020-04-01,1200,14.4,4.6,52,0.0,920,15.0,2.1,264,0.55
171,2020-04-01,1300,14.9,4.8,51,0.0,939,15.0,2.3,277,0.57
171,2020-04-01,1400,15.4,4.8,49,0.0,890,15.1,2.8,275,0.55
171,2020-04-01,1500,15.4,4.2,47,0.0,775,15.2,3.0,280,0.48
171,2020-04-01,1600,14.9,4.6,50,0.0,603,15.4,2.9,275,0.35
171,2020-04-01,1700,14.2,5.0,54,0.0,392,15.6,2.5,274,0.23
171,2020-04-01,1800,13.4,5.3,58,0.0,140,15.8,1.9,252,0.09
171,2020-04-01,1900,12.5,6.0,65,0.0,10,15.9,1.4,237,0.01
171,2020-04-01,2000,11.8,6.0,68,0.0,0,16.0,1.0,207,0.0
171,2020-04-01,2100,10.9,6.0,72,0.0,0,16.0,0.6,90,0.0
171,2020-04-01,2200,10.0,5.7,75,0.0,0,16.0,0.8,63,0.0
171,2020-04-01,2300,9.2,5.4,77,0.0,0,15.9,0.8,71,0.0
171,2020-04-01,2400,8.4,4.9,78,0.0,0,15.8,0.7,85,0.0
171,2020-04-02,0100,7.7,4.3,79,0.0,0,15.7,0.6,58,0.0
171,2020-04-02,0200,6.9,3.9,81,0.0,0,15.6,0.7,63,0.0
171,2020-04-02,0300,6.2,3.4,82,0.0,0,15.4,0.5,19,0.0
171,2020-04-02,0400,5.1,2.6,84,0.0,0,15.3,0.5,335,0.0
171,2020-04-02,0500,4.3,2.2,86,0.0,0,15.1,0.5,175,0.0
171,2020-04-02,0600,3.8,2.0,88,0.0,1,15.0,0.5,40,0.0
171,2020-04-02,0700,4.2,2.4,88,0.0,28,14.8,0.5,310,0.0
171,2020-04-02,0800,7.8,4.0,77,0.0,35,14.6,0.8,299,0.02
171,2020-04-02,0900,11.3,4.1,61,0.0,312,14.5,1.0,248,0.16
171,2020-04-02,1000,13.8,3.2,49,0.0,699,14.3,1.6,262,0.39
171,2020-04-02,1100,14.9,2.8,44,0.0,846,14.2,2.1,270,0.51
