Station,Date,Hour,Temp_C,DewPoint_C,Humidity_pct,Precip_mm,SolarRad_Wm2,SoilTemp_C,Wind_ms,WindDir_deg,ETo_mm
228,2020-04-01,0100,9.2,9.0,99,0.0,0,12.8,0.9,185,0.0
228,2020-04-01,0200,8.9,8.6,98,0.0,0,12.7,1.5,129,0.0
228,2020-04-01,0300,8.6,7.6,93,0.0,0,12.6,1.3,120,0.0
228,2020-04-01,0400,8.3,6.8,91,0.0,0,12.5,1.4,127,0.0
228,2020-04-01,0500,7.4,6.4,94,0.0,0,12.4,0.9,121,0.0
228,2020-04-01,0600,7.6,7.0,95,0.0,1,12.4,0.9,130,0.0
228,2020-04-01,0700,7.3,7.0,98,0.0,25,12.3,1.1,179,0.0
228,2020-04-01,0800,7.6,7.0,96,0.0,143,12.2,1.2,119,0.06
228,2020-04-01,0900,8.4,6.6,89,0.0,238,12.2,1.3,207,0.11
228,2020-04-01,1000,9.5,6.7,83,0.0,494,12.2,1.9,239,0.26
228,2020-04-01,1100,10.4,6.7,78,0.0,662,12.3,2.2,251,0.37
228,2020-04-01,1200,11.7,6.7,71,0.0,844,12.5,2.4,253,0.47
228,2020-04-01,1300,11.5,6.0,69,0.0,533,12.7,2.5,245,0.31
228,2020-04-01,1400,11.9,4.8,61,0.0,584,12.9,2.6,289,0.36
228,2020-04-01,1500,13.0,1.7,46,0.0,760,13.1,2.6,287,0.45
228,2020-04-01,1600,13.1,-0.9,38,0.0,575,13.2,2.6,322,0.33
228,2020-04-01,1700,12.8,-2.7,34,0.0,372,13.3,2.5,301,0.23
228,2020-04-01,1800,12.0,-6.0,28,0.0,155,13.3,2.1,301,0.11
228,2020-04-01,1900,9.8,-7.5,29,0.0,7,13.3,1.8,315,0.03
228,2020-04-01,2000,8.1,-7.3,33,0.0,0,13.2,1.7,320,0.02
228,2020-04-01,2100,6.8,-7.8,34,0.0,0,13.0,1.5,321,0.02
228,2020-04-01,2200,5.1,-4.7,49,0.0,0,12.8,1.0,58,0.0
228,2020-04-01,2300,4.4,-3.4,57,0.0,0,12.6,1.2,77,0.0
228,2020-04-01,2400,3.9,-2.9,61,0.0,0,12.3,0.9,72,0.0
228,2020-04-02,0100,3.9,-3.1,60,0.0,0,12.1,1.2,71,0.0
228,2020-04-02,0200,3.8,-3.0,61,0.0,0,11.9,1.2,78,0.0
228,2020-04-02,0300,3.7,-3.2,60,0.0,0,11.7,1.2,74,0.0
228,2020-04-02,0400,4.0,-3.4,58,0.0,0,11.5,1.1,41,0.0
228,2020-04-02,0500,3.4,-3.5,60,0.0,0,11.3,1.0,52,0.0
228,2020-04-02,0600,2.6,-3.8,63,0.0,3,11.1,0.8,79,0.0
228,2020-04-02,0700,4.1,-3.8,56,0.0,115,11.0,1.1,74,0.02
228,2020-04-02,0800,7.2,-3.0,48,0.0,329,10.8,1.4,89,0.15
228,2020-04-02,0900,9.8,-2.7,41,0.0,543,10.7,1.6,192,0.26
228,2020-04-02,1000,11.3,-2.9,37,0.0,723,10.7,2.4,278,0.41
228,2020-04-02,1100,12.4,-4.8,30,0.0,853,10.8,2.6,289,0.51
228,2020-04-02,1200,12.9,-3.7,31,0.0,923,11.0,2.3,290,0.56
228,2020-04-02,1300,13.5,-3.0,32,0.0,928,11.2,2.7,285,0.58
228,2020-04-02,1400,13.9,-3.3,30,0.0,872,11.5,2.8,286,0.55
228,2020-04-02,1500,14.4,-4.3,27,0.0,756,11.8,2.5,280,0.47
228,2020-04-02,1600,14.7,-5.1,25,0.0,588,11.9,2.2,283,0.35
228,2020-04-02,1700,14.5,-5.6,24,0.0,381,12.1,2.1,293,0.22
228,2020-04-02,1800,13.5,-7.8,22,0.0,161,12.3,1.9,281,0.11
228,2020-04-02,1900,11.2,-8.4,24,0.0,6,12.3,1.4,309,0.03
228,2020-04-02,2000,9.0,-9.6,26,0.0,0,12.3,1.3,329,0.02
228,2020-04-02,2100,7.6,-5.6,39,0.0,0,12.2,1.1,63,0.01
228,2020-04-02,2200,6.0,-3.7,50,0.0,0,12.0,1.4,85,0.0
228,2020-04-02,2300,5.8,-4.0,49,0.0,0,11.9,2.3,80,0.01
228,2020-04-02,2400,5.4,-4.7,48,0.0,0,11.7,1.1,59,0.0
228,2020-04-03,0100,4.5,-4.5,52,0.0,0,11.5,1.1,84,0.01
228,2020-04-03,0200,4.3,-4.5,53,0.0,0,11.4,1.0,80,0.01
228,2020-04-03,0300,3.8,-4.4,55,0.0,0,11.2,1.0,100,0.0
228,2020-04-03,0400,3.6,-4.5,55,0.0,0,11.1,1.0,117,0.0
228,2020-04-03,0500,4.0,-4.9,52,0.0,0,10.9,1.3,94,0.01
228,2020-04-03,0600,4.3,-5.5,49,0.0,3,10.8,1.2,96,0.01
228,2020-04-03,0700,5.2,-5.6,45,0.0,83,10.6,1.1,68,0.03
228,2020-04-03,0800,7.4,-5.1,41,0.0,250,10.5,1.3,79,0.13
228,2020-04-03,0900,10.2,-3.2,39,0.0,521,10.5,1.3,273,0.27
228,2020-04-03,1000,11.4,-2.4,38,0.0,709,10.5,1.9,220,0.39
228,2020-04-03,1100,13.1,-1.7,36,0.0,834,10.6,2.3,231,0.5
228,2020-04-03,1200,13.7,-0.7,37,0.0,905,10.8,2.5,232,0.56
228,2020-04-03,1300,14.2,1.5,42,0.0,910,11.2,2.7,221,0.58
228,2020-04-03,1400,14.6,1.1,40,0.0,855,11.6,2.5,227,0.54
228,2020-04-03,1500,14.9,0.9,39,0.0,733,11.9,2.6,231,0.46
228,2020-04-03,1600,15.0,-0.4,35,0.0,567,12.1,2.5,242,0.34
228,2020-04-03,1700,14.6,-0.7,35,0.0,357,12.4,2.6,218,0.24
228,2020-04-03,1800,13.5,-0.5,38,0.0,139,12.5,2.0,221,0.11
228,2020-04-03,1900,11.7,-1.1,41,0.0,8,12.6,1.0,242,0.02
228,2020-04-03,2000,10.2,-1.3,45,0.0,0,12.6,1.0,312,0.01
228,2020-04-03,2100,8.7,-0.2,54,0.0,0,12.5,1.3,64,0.01
228,2020-04-03,2200,7.5,0.6,62,0.0,0,12.4,1.2,87,0.0
228,2020-04-03,2300,6.3,0.6,67,0.0,0,12.2,1.0,93,0.0
228,2020-04-03,2400,5.8,0.3,68,0.0,0,12.1,1.4,77,0.0
228,2020-04-04,0100,5.2,-0.2,68,0.0,0,11.9,0.8,123,0.0
228,2020-04-04,0200,4.6,-0.3,70,0.0,0,11.8,1.2,113,0.0
228,2020-04-04,0300,4.0,-0.2,74,0.0,0,11.6,1.0,128,0.0
228,2020-04-04,0400,3.2,-0.2,79,0.0,0,11.4,0.8,148,0.0
228,2020-04-04,0500,3.0,0.1,81,0.0,0,11.3,1.1,152,0.0
228,2020-04-04,0600,3.3,0.5,82,0.0,5,11.1,1.0,116,0.0
228,2020-04-04,0700,5.1,1.2,76,0.0,84,11.0,1.2,112,0.02
228,2020-04-04,0800,7.6,1.5,65,0.0,248,10.9,1.8,144,0.12
228,2020-04-04,0900,8.5,2.0,63,0.0,262,10.8,2.8,180,0.15
228,2020-04-04,1000,8.4,1.7,62,0.0,219,10.9,2.2,208,0.11
228,2020-04-04,1100,8.5,2.6,66,0.0,275,11.0,2.2,198,0.14
228,2020-04-04,1200,9.0,2.8,65,0.0,291,11.1,2.7,194,0.15
228,2020-04-04,1300,8.4,5.4,81,0.4,211,11.2,2.2,170,0.08
228,2020-04-04,1400,8.3,6.4,88,1.1,187,11.4,2.8,159,0.07
228,2020-04-04,1500,8.5,6.7,88,0.3,171,11.5,3.7,146,0.07
228,2020-04-04,1600,7.3,5.7,89,1.4,98,11.5,4.2,148,0.04
228,2020-04-04,1700,6.9,5.4,90,0.4,65,11.6,4.0,137,0.03
228,2020-04-04,1800,7.7,5.4,85,0.0,44,11.6,3.8,131,0.03
228,2020-04-04,1900,8.3,5.3,82,0.1,3,11.5,4.3,140,0.02
228,2020-04-04,2000,8.1,5.8,86,1.8,0,11.5,2.9,151,0.0
228,2020-04-04,2100,7.7,6.2,91,0.7,0,11.4,2.4,155,0.0
228,2020-04-04,2200,7.7,6.5,92,2.3,0,11.3,3.5,149,0.0
228,2020-04-04,2300,7.7,6.9,95,1.2,0,11.3,3.9,145,0.0
228,2020-04-04,2400,8.1,7.0,93,1.2,0,11.2,5.0,151,0.0
228,2020-04-05,0100,7.9,7.1,95,1.7,0,11.1,4.4,152,0.0
228,2020-04-05,0200,8.0,7.2,95,0.9,0,11.1,4.4,158,0.0
228,2020-04-05,0300,7.7,7.1,96,4.5,0,11.0,4.3,172,0.0
228,2020-04-05,0400,8.0,7.0,93,0.8,0,10.9,4.5,160,0.0
228,2020-04-05,0500,7.7,7.4,98,2.5,0,10.8,3.6,172,0.0
228,2020-04-05,0600,7.8,7.3,97,0.7,0,10.8,4.2,158,0.0
228,2020-04-05,0700,7.6,7.1,97,5.4,5,10.7,4.7,172,0.0
228,2020-04-05,0800,7.6,6.6,93,3.4,23,10.6,6.3,163,0.01
228,2020-04-05,0900,7.7,6.3,90,1.3,90,10.5,6.3,159,0.04
228,2020-04-05,1000,7.9,7.1,95,2.3,127,10.5,6.2,160,0.04
228,2020-04-05,1100,8.4,7.2,92,0.5,158,10.4,5.8,162,0.06
228,2020-04-05,1200,8.6,7.6,93,0.7,124,10.4,5.8,169,0.03
228,2020-04-05,1300,8.2,6.8,91,3.6,152,10.5,5.9,169,0.05
228,2020-04-05,1400,5.6,5.4,99,4.1,73,10.5,2.0,190,0.0
228,2020-04-05,1500,5.8,5.7,99,3.0,62,10.4,2.0,113,0.0
228,2020-04-05,1600,4.5,4.3,99,4.7,18,10.4,3.5,75,0.0
228,2020-04-05,1700,3.1,2.5,96,4.6,27,10.2,3.3,72,0.0
228,2020-04-05,1800,3.5,3.1,97,5.2,8,9.8,1.5,49,0.0
228,2020-04-05,1900,2.9,2.6,98,2.6,1,9.2,2.7,83,0.0
228,2020-04-05,2000,2.3,1.9,97,3.2,0,9.2,2.3,73,0.0
228,2020-04-05,2100,2.1,1.8,98,1.5,0,9.0,2.5,91,0.0
228,2020-04-05,2200,2.0,1.7,97,0.5,0,9.0,2.8,86,0.0
228,2020-04-05,2300,2.3,1.9,97,0.9,0,9.0,2.3,69,0.0
228,2020-04-05,2400,2.1,1.7,97,1.3,0,9.0,2.0,80,0.0
228,2020-04-06,0100,2.1,1.8,98,1.2,0,8.9,2.1,71,0.0
228,2020-04-06,0200,2.3,2.0,98,0.1,0,8.9,1.4,38,0.0
228,2020-04-06,0300,2.4,2.2,98,0.0,0,8.8,1.1,65,0.0
228,2020-04-06,0400,2.1,1.6,97,0.0,0,8.8,1.0,62,0.0
228,2020-04-06,0500,1.7,1.4,97,0.0,0,8.7,1.0,337,0.0
228,2020-04-06,0600,2.0,1.7,98,0.1,3,8.6,1.0,26,0.0
228,2020-04-06,0700,3.0,2.6,97,0.0,60,8.6,1.1,55,0.02
228,2020-04-06,0800,4.7,3.4,91,0.0,113,8.5,0.9,31,0.04
228,2020-04-06,0900,6.4,3.8,83,0.0,282,8.5,1.3,88,0.13
228,2020-04-06,1000,7.2,3.7,79,0.0,399,8.6,1.6,179,0.19
228,2020-04-06,1100,7.7,4.4,80,0.0,359,8.8,1.3,222,0.16
228,2020-04-06,1200,8.6,4.7,76,0.0,591,9.1,1.5,248,0.31
228,2020-04-06,1300,8.4,4.9,79,0.0,234,9.4,1.8,251,0.1
228,2020-04-06,1400,6.6,5.5,93,3.0,270,9.7,2.2,242,0.11
228,2020-04-06,1500,6.8,5.6,92,1.6,111,10.0,1.7,250,0.02
228,2020-04-06,1600,6.2,5.5,95,2.1,275,10.2,2.0,135,0.12
228,2020-04-06,1700,6.7,5.0,89,0.0,337,10.3,2.7,64,0.15
228,2020-04-06,1800,6.8,4.8,87,0.0,74,10.4,2.1,64,0.04
228,2020-04-06,1900,6.4,4.1,85,0.0,8,10.5,1.7,70,0.0
228,2020-04-06,2000,6.2,4.0,85,0.0,0,10.6,1.7,65,0.0
228,2020-04-06,2100,5.6,3.9,89,0.0,0,10.5,1.3,83,0.0
228,2020-04-06,2200,5.8,2.9,82,0.0,0,10.4,1.9,60,0.0
228,2020-04-06,2300,5.7,2.9,82,0.0,0,10.3,1.7,83,0.0
228,2020-04-06,2400,5.7,3.3,84,0.0,0,10.2,1.1,83,0.0
228,2020-04-07,0100,5.6,3.5,86,0.0,0,10.1,1.0,110,0.0
228,2020-04-07,0200,5.6,3.6,87,0.0,0,10.0,0.9,83,0.0
228,2020-04-07,0300,5.3,3.4,87,0.0,0,9.9,1.2,64,0.0
228,2020-04-07,0400,6.3,3.2,80,0.0,0,9.9,2.5,57,0.0
228,2020-04-07,0500,6.4,3.2,80,0.0,0,9.8,2.3,73,0.0
228,2020-04-07,0600,5.8,3.5,85,0.0,2,9.7,1.3,108,0.0
228,2020-04-07,0700,6.0,4.0,87,0.0,59,9.7,1.1,359,0.0
228,2020-04-07,0800,9.1,4.2,71,0.0,368,9.7,1.6,7,0.15
228,2020-04-07,0900,10.2,3.6,63,0.0,398,9.7,1.6,356,0.22
228,2020-04-07,1000,11.3,4.6,63,0.0,719,9.8,1.9,302,0.39
228,2020-04-07,1100,12.2,5.1,62,0.0,773,9.9,2.3,233,0.46
228,2020-04-07,1200,11.4,5.9,69,0.0,252,10.1,2.0,243,0.12
228,2020-04-07,1300,11.8,6.3,69,0.0,491,10.4,2.9,222,0.3
228,2020-04-07,1400,13.2,6.2,63,0.0,898,10.6,3.1,223,0.54
228,2020-04-07,1500,13.0,5.8,62,0.0,507,10.8,2.7,218,0.32
228,2020-04-07,1600,12.7,5.8,63,0.0,250,11.0,2.2,242,0.15
228,2020-04-07,1700,13.1,5.9,62,0.0,246,11.2,1.8,284,0.15
228,2020-04-07,1800,13.2,5.5,59,0.0,193,11.3,2.1,328,0.1
228,2020-04-07,1900,11.1,5.1,66,0.0,10,11.4,1.6,334,0.0
228,2020-04-07,2000,10.0,5.0,71,0.0,0,11.4,1.4,351,0.0
228,2020-04-07,2100,8.9,5.6,80,0.0,0,11.4,1.3,25,0.0
228,2020-04-07,2200,7.6,5.6,87,0.0,0,11.3,1.4,346,0.0
228,2020-04-07,2300,6.8,5.3,90,0.0,0,11.2,1.6,357,0.0
228,2020-04-07,2400,7.9,4.5,79,0.0,0,11.1,2.2,355,0.0
228,2020-04-08,0100,8.5,4.1,74,0.0,0,11.0,1.5,28,0.0
228,2020-04-08,0200,7.5,3.7,77,0.0,0,10.9,1.2,124,0.0
228,2020-04-08,0300,8.2,4.5,78,0.0,0,10.9,3.5,165,0.0
228,2020-04-08,0400,8.6,5.7,82,0.0,0,10.8,2.2,169,0.0
228,2020-04-08,0500,7.6,5.6,87,0.0,0,10.7,1.2,202,0.0
228,2020-04-08,0600,6.5,5.4,92,0.0,5,10.6,1.2,344,0.0
228,2020-04-08,0700,7.7,5.5,86,0.0,161,10.6,1.3,105,0.04
228,2020-04-08,0800,10.9,5.9,71,0.0,373,10.5,1.5,108,0.16
228,2020-04-08,0900,11.5,6.5,71,0.0,415,10.5,1.5,227,0.23
228,2020-04-08,1000,12.8,7.3,69,0.0,531,10.6,1.5,276,0.31
228,2020-04-08,1100,12.3,7.6,73,0.0,346,10.7,2.1,233,0.19
228,2020-04-08,1200,12.6,8.1,74,0.0,529,11.0,2.4,234,0.32
228,2020-04-08,1300,12.5,8.3,76,0.0,390,11.2,2.3,242,0.21
228,2020-04-08,1400,12.8,8.4,75,0.0,417,11.4,1.9,231,0.24
228,2020-04-08,1500,13.0,8.5,74,0.0,308,11.6,1.9,186,0.17
228,2020-04-08,1600,13.2,8.8,75,0.0,300,11.8,1.9,198,0.17
228,2020-04-08,1700,12.8,8.8,76,0.0,169,12.0,2.0,205,0.1
228,2020-04-08,1800,12.6,9.1,79,0.0,127,12.1,1.4,221,0.07
228,2020-04-08,1900,11.5,9.0,84,0.0,14,12.2,1.3,205,0.0
228,2020-04-08,2000,10.8,8.9,88,0.0,0,12.2,1.4,173,0.0
228,2020-04-08,2100,10.9,9.1,89,0.0,0,12.2,1.2,135,0.0
228,2020-04-08,2200,10.2,8.9,92,0.0,0,12.1,1.5,200,0.0
228,2020-04-08,2300,9.2,8.7,97,0.0,0,12.0,1.5,212,0.0
228,2020-04-08,2400,9.0,8.4,96,0.0,0,11.9,0.7,127,0.0
228,2020-04-09,0100,9.3,8.7,96,0.0,0,11.9,1.6,168,0.0
228,2020-04-09,0200,9.2,8.8,97,0.0,0,11.9,1.8,186,0.0
228,2020-04-09,0300,8.5,8.4,99,0.0,0,11.8,1.9,200,0.0
228,2020-04-09,0400,7.9,7.8,99,0.0,0,11.8,1.3,227,0.0
228,2020-04-09,0500,7.8,7.7,99,0.1,0,11.8,1.4,226,0.0
228,2020-04-09,0600,7.6,7.5,99,0.1,1,11.7,1.6,213,0.0
228,2020-04-09,0700,7.2,7.1,99,0.1,13,11.7,2.3,181,0.0
228,2020-04-09,0800,7.4,7.2,99,0.0,74,11.6,1.6,165,0.02
228,2020-04-09,0900,8.6,7.5,93,0.0,217,11.6,1.6,161,0.1
228,2020-04-09,1000,9.6,7.4,86,0.0,301,11.6,2.1,160,0.14
228,2020-04-09,1100,10.4,6.8,79,0.0,310,11.7,1.8,196,0.15
228,2020-04-09,1200,10.7,6.4,75,0.0,255,11.8,1.6,205,0.12
228,2020-04-09,1300,11.2,6.4,72,0.0,285,11.9,1.5,243,0.14
228,2020-04-09,1400,11.5,6.6,72,0.0,261,12.0,1.6,268,0.13
228,2020-04-09,1500,11.6,7.1,74,0.0,205,12.2,1.7,341,0.1
228,2020-04-09,1600,11.2,7.0,76,0.0,86,12.3,1.5,306,0.03
228,2020-04-09,1700,10.9,7.1,77,0.0,44,12.3,0.9,273,0.01
228,2020-04-09,1800,10.7,7.5,81,0.0,22,12.3,0.9,241,0.01
228,2020-04-09,1900,10.2,8.0,86,0.0,6,12.3,0.9,186,0.0
228,2020-04-09,2000,9.8,8.2,90,0.1,0,12.3,1.2,137,0.0
228,2020-04-09,2100,9.7,8.2,90,0.1,0,12.3,1.1,29,0.0
228,2020-04-09,2200,9.4,8.3,93,0.2,0,12.2,1.1,314,0.0
228,2020-04-09,2300,9.3,8.5,95,0.1,0,12.2,0.6,71,0.0
228,2020-04-09,2400,8.8,8.5,98,0.4,0,12.2,1.1,175,0.0
228,2020-04-10,0100,8.4,8.3,99,0.0,0,12.1,1.1,142,0.0
228,2020-04-10,0200,8.4,8.3,99,0.2,0,12.1,1.7,66,0.0
228,2020-04-10,0300,8.4,8.2,99,0.0,0,12.0,1.2,356,0.0
228,2020-04-10,0400,7.8,7.7,99,0.0,0,12.0,1.2,334,0.0
228,2020-04-10,0500,7.9,7.6,98,0.0,0,11.9,1.4,332,0.0
228,2020-04-10,0600,7.5,7.3,98,0.0,11,11.8,0.8,350,0.0
228,2020-04-10,0700,6.9,6.4,97,0.0,98,11.7,1.5,79,0.01
228,2020-04-10,0800,9.0,6.6,85,0.0,360,11.7,1.4,87,0.16
228,2020-04-10,0900,11.2,8.0,80,0.0,560,11.6,2.0,328,0.28
228,2020-04-10,1000,12.6,8.0,74,0.0,622,11.6,2.2,313,0.37
228,2020-04-10,1100,13.6,8.0,69,0.0,770,11.7,1.9,281,0.47
228,2020-04-10,1200,14.7,8.8,68,0.0,790,11.9,2.3,241,0.51
228,2020-04-10,1300,14.6,9.1,70,0.0,648,12.2,2.7,238,0.42
228,2020-04-10,1400,14.9,8.9,68,0.0,475,12.5,2.6,233,0.31
228,2020-04-10,1500,14.6,8.8,68,0.0,282,12.8,2.5,232,0.17
228,2020-04-10,1600,15.0,9.1,68,0.0,332,13.1,2.4,213,0.21
228,2020-04-10,1700,15.1,8.9,67,0.0,309,13.3,2.3,218,0.19
228,2020-04-10,1800,14.7,8.6,67,0.0,176,13.4,2.2,194,0.11
228,2020-04-10,1900,13.3,8.4,72,0.0,12,13.5,1.3,207,0.0
228,2020-04-10,2000,12.9,8.7,76,0.0,0,13.5,1.0,203,0.0
228,2020-04-10,2100,12.4,9.1,80,0.0,0,13.5,1.5,197,0.0
228,2020-04-10,2200,10.9,8.9,87,0.0,0,13.4,1.4,221,0.0
228,2020-04-10,2300,10.1,8.6,91,0.0,0,13.3,1.4,219,0.0
228,2020-04-10,2400,10.0,8.5,90,0.0,0,13.3,0.9,298,0.0
228,2020-04-11,0100,10.1,8.7,91,0.0,0,13.2,0.8,20,0.0
228,2020-04-11,0200,10.4,8.8,90,0.0,0,13.1,0.8,22,0.0
228,2020-04-11,0300,10.6,8.7,88,0.0,0,13.0,0.9,80,0.0
228,2020-04-11,0400,10.6,8.8,89,0.0,0,13.0,1.0,96,0.0
228,2020-04-11,0500,10.4,8.1,86,0.0,0,12.9,0.7,104,0.0
228,2020-04-11,0600,9.9,7.5,85,0.0,5,12.9,0.9,134,0.0
228,2020-04-11,0700,8.6,8.4,98,0.0,42,12.8,1.2,219,0.02
228,2020-04-11,0800,8.7,8.4,97,0.0,121,12.8,1.7,222,0.05
228,2020-04-11,0900,9.2,8.6,96,0.0,363,12.8,1.6,211,0.18
228,2020-04-11,1000,12.0,9.4,84,0.0,713,12.8,2.0,231,0.38
228,2020-04-11,1100,13.7,10.1,79,0.0,783,12.9,2.7,220,0.48
228,2020-04-11,1200,14.2,10.4,78,0.0,696,13.1,2.9,230,0.44
228,2020-04-11,1300,15.0,10.6,75,0.0,774,13.4,2.6,227,0.5
228,2020-04-11,1400,15.1,10.8,76,0.0,556,13.8,2.4,221,0.35
228,2020-04-11,1500,15.2,10.7,75,0.0,410,14.1,2.5,237,0.26
228,2020-04-11,1600,15.3,10.4,73,0.0,328,14.4,2.2,205,0.21
228,2020-04-11,1700,15.2,10.4,73,0.0,185,14.6,2.5,194,0.12
228,2020-04-11,1800,14.9,10.1,73,0.0,125,14.7,2.5,191,0.09
228,2020-04-11,1900,13.6,10.4,81,0.0,11,14.7,1.1,199,0.0
228,2020-04-11,2000,12.1,10.1,87,0.0,0,14.7,0.7,3,0.0
228,2020-04-11,2100,11.4,10.0,91,0.0,0,14.6,0.9,327,0.0
228,2020-04-11,2200,11.3,9.8,91,0.0,0,14.4,1.0,62,0.0
228,2020-04-11,2300,11.6,9.8,89,0.0,0,14.3,1.4,76,0.0
228,2020-04-11,2400,11.3,9.8,91,0.0,0,14.1,0.9,91,0.0
228,2020-04-12,0100,10.4,9.3,93,0.0,0,14.0,1.0,108,0.0
228,2020-04-12,0200,10.1,8.4,89,0.0,0,13.9,1.5,117,0.0
228,2020-04-12,0300,10.0,7.9,87,0.0,0,13.7,1.1,98,0.0
228,2020-04-12,0400,9.9,7.4,85,0.0,0,13.6,1.6,96,0.0
228,2020-04-12,0500,10.2,7.4,83,0.0,0,13.5,1.0,94,0.0
228,2020-04-12,0600,10.3,7.6,84,0.0,3,13.4,0.6,132,0.0
228,2020-04-12,0700,10.7,8.1,84,0.0,25,13.3,1.0,84,0.02
228,2020-04-12,0800,11.6,8.3,80,0.0,51,13.3,0.8,87,0.02
228,2020-04-12,0900,12.7,9.3,80,0.0,72,13.2,0.5,68,0.02
228,2020-04-12,1000,13.6,9.8,78,0.0,254,13.2,1.2,330,0.13
228,2020-04-12,1100,15.1,10.8,75,0.0,548,13.3,1.7,298,0.34
228,2020-04-12,1200,16.0,10.9,72,0.0,545,13.4,2.1,258,0.35
228,2020-04-12,1300,16.5,11.5,72,0.0,590,13.6,2.5,229,0.39
228,2020-04-12,1400,16.5,11.6,73,0.0,343,13.8,2.6,249,0.21
228,2020-04-12,1500,17.3,11.2,67,0.0,655,14.1,2.9,265,0.45
228,2020-04-12,1600,17.0,10.3,65,0.0,318,14.3,2.6,272,0.22
228,2020-04-12,1700,16.2,9.9,66,0.0,164,14.5,1.8,296,0.11
228,2020-04-12,1800,16.0,10.0,67,0.0,131,14.6,1.2,287,0.08
228,2020-04-12,1900,14.7,9.7,72,0.0,18,14.6,0.9,328,0.01
228,2020-04-12,2000,13.4,10.0,80,0.0,0,14.6,1.0,296,0.0
228,2020-04-12,2100,12.2,10.4,88,0.0,0,14.5,0.9,309,0.0
228,2020-04-12,2200,11.8,10.7,93,0.0,0,14.4,0.7,193,0.0
